id,caption
0,RICK'S FAVORITE ROAD SIGN IN GERMANY; IT MEANS &AMP;QUOT;NO SPEED LIMIT.&AMP;QUOT;
1,"SIGN ON CURRENT N78 ON JUNCTION WITH ROAD LEADING TO NEWBRIDGE, NEAR KILCULLEN JUNCTION"
2,LOOKING IN FROM THE ENTRANCE THIS OFFICE IS JUST TO THE LEFT OF THE SIGN IN ROOM AT ST. CATHERINE'S
3,A WHITE PINE BONSAI TREE THEY HAVE.  THE SIGN SAYS IT'S BEEN IN TRAINING SINCE 1625!
4,A ROAD IN CAMP PENDLETON. SEE THE RANGE SIGN AHEAD.
5,DUTCH BUS SERVING IN HAVANNA (CUBA) NOW. THE SIGN STILL SAYS &AMP;QUOT;DELFT STATION&AMP;QUOT;.
6,YOU CAN TELL THIS IS A STUDENT RESIDENCE BY THE ROAD SIGN SECRETED IN THE GARDEN.
7,SIGN ABOVE GROUND EVEN THOUGH TRAIN IS BELOW GROUND
8,A STREET SIGN IN GINZA.
9,A GREAT SIGN IN BOUROUGHS MARKET
10,THE LARGEST LIVING CHRISTMAS TREE IN THE COUNTRY (OR SO THE SIGN SAYS)
11,MY SISTER IN FRONT OF THE STREET SIGN IN OUR FRONT YARD.
12,THAT SIGN IS A BIT IN THE DITCH AND MOSTLY UP TO IT'S NECK IN SNOW. OH... THIS IS THE ROAD TOO.
13,A ROAD SIGN ALONG THE HIGHWAY IN BOLIVIA.
14,THIS IS THE ONLY SIGN ABOVE THE LOCAL NEWSPAPER OFFICE. IT'S A BANNER SCREWED TO THE DOOR FRAME!
15,THE SIGN ON THE LIGHT POLE IN THIS MOOSE LAKE GAS STATION PARKING LOT READS:NOCONGREGATINGOR CRUISINGVIOLATORS WILLBE PROSECUTED
16,MY COMPANY HEADQUARTERS.  ONCE SAW A WOMAN DOING THE SIGN OF THE CROSS AND SAYING IGLESIA! IN FRONT.
17,EVEN THE BUS STOP SIGN IS IN FRENCH. FEELS LIKE HOME :)
18,THIS SIGN WAS JUST LYING ON THE GROUND NEAR THE GUARD TOWER.
19,OLD PACIFIC CREST TRAIL SYSTEM SIGN FRAMED IN A TREE
20,"DOUBLE EX...  ROAD ARROW AND ROAD SIGN NEAR OCOTILLO , CA."
21,A SIGN IN SPANISH IS OMINOUSLY WRITTEN OVER IN ENGLISH USING RED SPRAY PAINT.
22,PABST SIGN ABOVE THE BAR
23,MY VOTE FOR COOLEST SIGN AND WALL IN YELAPA.
24,NO FISHING SIGN WITH REPLICA OF COLUMBUS'S SHIP THE NINA IN THE BACKGROUND
25,SUKHUMI ROAD SIGN IN ZUGDIDI
26,A SIGN ON THE SIDE OF ROAD SOMEWHERE NEAR GAINESVILLE.
27,"PICTURE IN AUCKLAND, THE SIGN IN THE BACKGROUND IS CHARTING THE COUNTDOWN TO THE WORLD CUP FINAL.... HE HE HE"
28,ICED OVER PASSENGER SIGN WINDOW
29,WOODEN SIGN FOR THE SOUTHERN CROSS HOTEL FROM THE BALCONY ABOVE DUVAL.
30,THIS VINTAGE SIGN IS ON A BUILDING IN THE AUSTRALIAN EXHIBIT AT THE COLUMBUS ZOO AND AQUARIUM.
31,I DECIDED TO GET A FEW NICE SHOTS OF THE SINGLECAR DMU SITTING BESIDE THE STATION SIGN
32,THOSE 2 TOWERS IN THE BACKGROUND ARE THE CNN BUILDINGS. NOTE THE STAGECOACH SIGN ON THE LAMP POST.
33,"CLIMBING SIGN IS WHAT IT IS, GOOD VIEW ALL AROUND AS THE BUILDING KIND OF SITS ON RICHMOND HILL."
34,TOILET SIGN IN MACAU FOR DOG BATHROOM
35,"THE WILDFLOWERS BY THE ROAD AT THE WELCOME SIGN TO CLEVELAND, GEORGIA"
36,"1ST SQUADRON, 9TH US CAVALRY SIGN ON HUNTER, A BASE IN MAYSAN PROVINCE IRAQ"
37,SIGN IN A GERMAN BATHROOM
38,GHOSTLY IMAGE SIGN ABOVE THE DOOR TO THE BEESWING
39,THIS SIGN MAKES ME LAUGH BECAUSE THERE IS A HILL AROUND EVERY CORNER IN SAN FRANCISCO.
40,A CUTE JAPANESE KID *AND* A SIGN IN ENGRISH
41,RODE MY BIKE BY THIS SIGN EVERYDAY. I LOVED THE SIGNIFICANCE.
42,THIS IS THE DESCRIPTIVE SIGN FOR THE MOUNTAIN LAUREL GLASS FLOWERS IN THE HARVARD MUSEUM OF NATURAL HISTORY.
43,ROAD SIGN IN OINGT
44,DAVE PUTS UP ANOTHER SIGN OVER THE ATTIC DOOR IN HIS ROOM
45,"IN A SIGN WARNING AGAINST ROAD RAGE, AN ANGRY CAR BEARS DOWN ON A LITTLE GIRL AT PLAY."
46,THIS WAS ALSO USED FOR LOST.  THE WHITE SIGN IN THE BACKGROUND IS THE LOCATION OF HURLEY'S GOLF COURSE
47,OLD SIGN ON A BUILDING IN GLASGOW. I NEVER NOTICED THIS BUILDING BEFORE BUT IT IS COVERED IN FADING SIGNS.
48,FROM THE SIGN &AMP;QUOT;SHUNKODEN - BUILT TO PLACE THE SACRED MIRROR ON THE OCCASION OF THE ENTHRONEMENT CEREMONY OF EMPEROR TAISHO IN 1915&AMP;QUOT;
49,THAT GREEN FLAG IN FRONT OF THE SIGN IS ACTUALLY THE FLAG OF THE SECURITY FENCE/WALL.
50,MY CHILDREN'S MIRACLE NETWORK HOSPITAL SIGN AND THE FROST BANK TOWER IN THE BACK.
51,"IN BAR AT MANCHESTER XMAS MARKETS - KES IN HOUSE, NO SIGN OF CRAIG DAVID!"
52,"A SIGN DESCRIBING THE FIRST HILL FORTS CONSTRUCTED AROUND 800 BC IN CORNWALL IN THE ROYAL CORNWALL MUSEUM IN TRURO, ENGLAND"
53,NATHAN'S SIGN IN BLACK AND WHITE
54,I SKATE BY THIS SIGN ON THE WAY TO THE BUS STOP TO WORK--4TH AND ST. JAMES
55,WE FOUND THIS SIGN IN THE CABINET STORAGE OF THE VW WHILE CLEANING
56,"GREGORY AND A KANGAROO WILDLIFE WARNING SIGN BESIDES THE HIGHWAY IN SNOWY MOUNTAINS, NSW 1975"
57,ARWYDD TY YN ABERAERON / HOUSE SIGN IN ABERAERON
58,THIS IS A 3D SIGN AT A SHOE STORE AT FASHION FAIRE IN FRESNO.
59,"CIRCULAR PLASTIC SIGN FOR RED &AMP;AMP; WHITE STORES IN TOLEDO, OHIO."
60,DIRECTION SIGN IN BROAD HINTON VILLAGE ON THE FORMER TURNPIKE ROAD FROM MARLBOROUGH TO WOOTTON BASSETT IN WILTSHIRE
61,BRIDGE SIGN FOR PIG OUT IN THE PARK EVENT.
62,"A STREET SIGN IN SOFIA, BULGARIA, THAT IS UNFORTUNATELY REPRESENTATIVE OF MUCH OF THAT CITY."
63,WARNING SIGN ON A SODA MACHINE IN THE LAS VEGAS MONORAIL.
64,POST OFFICE DOOR SIGN EXPLAINING HOURS OF OPERATION. SEEN AT DOME CREEK IN BRITISH COLUMBIA. JULY 2002.
65,OLD STREET SIGN ON BUILDING WITH PARK AVE LISTED BY ITS ORIGINAL NAME 4TH AVE.
