id,pred_caption
711,startseq this sign by a bar of ohio in a street of is endseq
712,startseq in the horn on the street sign in the street endseq
713,startseq this sign by the window of a people of the street of south lot endseq
714,startseq this sign on a street of a sign of it endseq
715,startseq a sign on the street of the sign of endseq
716,startseq this sign on spanish on road is is road is the street of the street is south own endseq
717,startseq this sign on a vintage of this is to the columbus car is the columbus is to south is endseq
718,startseq this sign on a vintage of road over the columbus is to south is endseq
719,startseq quite driven in rescue blue of the sign of a sign of a street of it endseq
720,startseq this sign on the vintage of road is the road of south south own kilcullen missouri endseq
